V160001,clinton,trump,pid7,pid3,ideo7,education,income,feeldem,feelrep
401391,0,85,6,(2) 2. Republican,5,13,1,0,85
401392,100,0,1,(1) 1. Democrat,NA,10,1,100,0
401393,49,50,4,(3) 3. Independent,NA,9,19,48,60
401397,70,0,1,(1) 1. Democrat,4,11,16,100,0
401398,17,74,4,(3) 3. Independent,NA,10,5,50,52
401400,40,40,4,(3) 3. Independent,NA,9,19,50,50
401402,0,0,4,(5) 5. Other party SPECIFY,4,9,1,50,50
401410,30,15,5,(3) 3. Independent,5,14,27,30,40
401412,3,100,7,(2) 2. Republican,6,10,18,3,90
401414,0,85,7,(2) 2. Republican,7,10,7,3,85
401416,71,2,1,(1) 1. Democrat,2,16,26,71,2
401417,70,0,3,(3) 3. Independent,3,10,14,85,40
401422,60,0,7,(2) 2. Republican,6,14,22,15,85
401423,40,15,7,(2) 2. Republican,,9,1,30,60
401426,62,0,3,(3) 3. Independent,4,10,19,70,16
401427,5,20,5,(3) 3. Independent,4,10,8,50,50
401428,16,15,6,(2) 2. Republican,5,10,21,40,60
401430,30,70,4,(3) 3. Independent,,11,17,50,50
401431,0,70,5,(3) 3. Independent,,10,26,40,50
401435,0,60,7,(2) 2. Republican,6,13,23,0,70
401436,50,85,6,(2) 2. Republican,3,13,19,50,60
401437,0,85,5,(3) 3. Independent,6,9,,30,85
401438,0,40,5,(5) 5. Other party SPECIFY,6,13,24,0,31
401439,16,71,6,(2) 2. Republican,6,13,13,30,84
401441,0,85,5,(3) 3. Independent,6,11,17,0,40
401442,71,1,1,(1) 1. Democrat,2,14,24,71,5
401444,40,40,4,(5) 5. Other party SPECIFY,,10,13,40,70
401447,0,60,5,(3) 3. Independent,5,10,11,30,60
401448,15,0,3,(3) 3. Independent,4,13,20,30,0
401450,4,65,7,(2) 2. Republican,,9,10,37,50
401457,16,70,7,(2) 2. Republican,NA,9,19,2,85
401461,15,70,6,(2) 2. Republican,6,9,17,30,50
401463,3,77,7,(2) 2. Republican,,9,9,0,50
401464,2,51,2,(1) 1. Democrat,4,10,21,70,41
401468,30,30,2,(1) 1. Democrat,4,13,16,31,25
401469,0,100,7,(2) 2. Republican,6,10,17,50,100
401472,60,0,2,(1) 1. Democrat,,10,2,70,16
401475,68,15,1,(1) 1. Democrat,NA,10,,85,49
401476,2,100,7,(2) 2. Republican,7,10,22,17,62
401477,85,0,1,(1) 1. Democrat,3,11,22,100,15
401478,16,70,5,(3) 3. Independent,4,13,21,85,60
401482,45,50,1,(1) 1. Democrat,,11,7,45,68
401485,85,0,2,(1) 1. Democrat,,11,23,70,60
401486,75,0,1,(1) 1. Democrat,1,13,13,75,0
401492,60,50,,(3) 3. Independent,,12,10,,
401496,60,30,2,(1) 1. Democrat,3,14,21,60,30
401501,58,18,2,(1) 1. Democrat,3,13,26,78,43
401504,85,0,1,(1) 1. Democrat,,9,1,85,40
401505,100,0,1,(1) 1. Democrat,,9,3,100,17
401511,17,70,7,(2) 2. Republican,6,9,13,16,71
401512,60,0,1,(1) 1. Democrat,4,9,3,85,15
401513,33,19,4,(3) 3. Independent,6,9,2,85,72
401515,0,70,2,(1) 1. Democrat,NA,10,14,30,50
401516,85,0,2,(1) 1. Democrat,NA,10,15,85,40
401520,15,15,4,(3) 3. Independent,5,12,,50,50
401522,60,0,1,(1) 1. Democrat,3,13,19,70,60
401525,0,100,7,(2) 2. Republican,6,14,26,0,85
401527,60,15,3,(3) 3. Independent,4,14,27,55,20
401528,15,0,4,(3) 3. Independent,5,10,,60,30
401531,85,10,1,(1) 1. Democrat,2,13,13,70,0
401537,70,50,5,(3) 3. Independent,5,10,6,0,0
401539,60,0,3,(3) 3. Independent,2,10,24,60,15
401542,3,76,5,(3) 3. Independent,5,11,21,7,51
401543,80,5,2,(1) 1. Democrat,2,14,28,75,15
401548,30,70,4,(3) 3. Independent,4,,3,0,0
401552,0,100,5,(3) 3. Independent,6,17,17,15,85
401554,60,30,1,(1) 1. Democrat,4,11,16,70,50
401555,15,70,6,(2) 2. Republican,6,11,17,30,70
401557,40,40,4,(3) 3. Independent,4,11,12,40,40
401559,40,60,6,(2) 2. Republican,6,10,2,15,40
401563,100,0,1,(1) 1. Democrat,3,10,20,100,0
401570,74,0,3,(3) 3. Independent,3,12,25,80,45
401571,0,100,3,(3) 3. Independent,4,13,23,0,0
401573,0,65,5,(3) 3. Independent,,10,3,0,10
401574,61,46,7,(2) 2. Republican,6,9,12,50,70
401576,2,100,5,(3) 3. Independent,7,9,8,0,86
401579,70,1,3,(3) 3. Independent,2,13,3,61,43
401580,15,85,6,(2) 2. Republican,5,14,24,0,85
401581,30,31,3,(3) 3. Independent,4,12,11,50,70
401582,60,0,2,(1) 1. Democrat,,11,,60,40
401583,100,2,1,(1) 1. Democrat,1,10,11,99,2
401584,11,47,7,(2) 2. Republican,5,10,22,37,63
401585,85,1,1,(1) 1. Democrat,1,13,7,75,5
401586,0,100,7,(2) 2. Republican,5,10,24,15,85
401587,40,0,6,(2) 2. Republican,5,10,24,60,33
401588,3,70,7,(2) 2. Republican,6,9,11,51,62
401590,50,0,4,(3) 3. Independent,NA,9,1,50,50
401592,70,0,2,(1) 1. Democrat,1,9,9,70,0
401593,100,0,1,(1) 1. Democrat,2,9,24,85,0
401597,63,0,1,(1) 1. Democrat,1,9,21,81,21
401598,1,65,7,(2) 2. Republican,5,13,23,17,85
401601,85,17,4,(3) 3. Independent,3,10,1,51,50
401602,60,0,6,(2) 2. Republican,4,13,18,60,50
401603,0,70,7,(2) 2. Republican,7,14,13,0,30
401605,30,30,5,(3) 3. Independent,3,12,25,17,26
401607,0,60,6,(2) 2. Republican,5,10,13,30,60
401609,0,10,5,(3) 3. Independent,5,11,21,24,55
401610,100,0,1,(1) 1. Democrat,2,13,25,99,50
401611,69,1,3,(5) 5. Other party SPECIFY,2,10,7,60,1
401613,50,50,2,(1) 1. Democrat,NA,10,26,60,0
401618,60,,2,(1) 1. Democrat,3,13,12,60,40
401622,80,0,1,(1) 1. Democrat,2,15,18,80,40
401624,70,1,1,(1) 1. Democrat,,14,11,79,7
401625,0,85,7,(2) 2. Republican,6,10,23,0,85
401630,100,0,1,(1) 1. Democrat,NA,7,3,100,50
401632,5,7,6,(2) 2. Republican,6,10,24,60,70
401636,85,0,1,(1) 1. Democrat,4,9,5,85,15
401637,0,70,5,(3) 3. Independent,6,13,21,15,40
401639,0,98,7,(2) 2. Republican,6,13,26,0,100
401642,100,0,2,(1) 1. Democrat,3,14,26,40,0
401643,100,0,4,(3) 3. Independent,4,10,17,100,0
401646,84,11,4,(3) 3. Independent,,10,13,53,46
401649,0,85,6,(2) 2. Republican,5,9,13,30,70
401654,30,0,3,(3) 3. Independent,3,15,26,60,15
401662,70,15,4,(3) 3. Independent,4,13,14,70,70
401664,40,39,2,(1) 1. Democrat,4,9,14,41,41
401665,0,2,6,(2) 2. Republican,,9,3,60,60
401669,41,0,3,(3) 3. Independent,,14,3,69,15
401672,10,0,4,(3) 3. Independent,,14,23,30,15
401675,60,15,4,(3) 3. Independent,NA,10,21,60,30
401678,60,15,2,(1) 1. Democrat,1,10,6,60,30
401685,1,100,7,(2) 2. Republican,6,13,13,0,93
401686,0,0,4,(3) 3. Independent,NA,10,3,0,0
401687,50,51,6,(2) 2. Republican,NA,13,22,39,62
401694,86,15,1,(1) 1. Democrat,NA,10,19,85,45
401696,1,100,4,(3) 3. Independent,,10,15,15,60
401698,60,0,2,(1) 1. Democrat,,10,24,60,0
401699,70,0,1,(1) 1. Democrat,,8,17,85,15
401700,50,85,6,(2) 2. Republican,4,12,19,15,40
401703,85,6,1,(1) 1. Democrat,,9,12,99,1
401705,40,0,3,(3) 3. Independent,3,10,18,60,30
401706,0,100,7,(2) 2. Republican,6,10,21,30,85
401709,60,30,6,(2) 2. Republican,5,10,,59,17
401715,50,0,3,(3) 3. Independent,4,13,24,30,0
401716,15,85,5,(3) 3. Independent,3,10,21,15,85
401723,60,30,3,(3) 3. Independent,,9,14,60,48
401728,40,60,4,(5) 5. Other party SPECIFY,NA,9,7,40,60
401732,70,0,3,(3) 3. Independent,2,11,20,71,8
401733,0,50,5,(3) 3. Independent,4,13,11,30,62
401736,90,0,1,(1) 1. Democrat,2,17,20,80,20
401739,0,100,3,(3) 3. Independent,NA,9,7,0,0
401746,0,0,7,(2) 2. Republican,,14,28,0,85
401747,,,1,(1) 1. Democrat,,9,23,,
401748,0,99,6,(2) 2. Republican,5,11,6,10,99
401749,1,92,7,(2) 2. Republican,6,5,12,15,100
401752,0,70,7,(2) 2. Republican,5,11,25,15,60
401756,30,60,7,(2) 2. Republican,6,13,22,30,60
401757,60,40,6,(2) 2. Republican,5,10,16,60,50
401758,85,70,2,(1) 1. Democrat,,11,21,85,70
401759,62,17,2,(1) 1. Democrat,1,10,9,38,19
401761,,,,,,9,,,
401762,40,15,7,(2) 2. Republican,,9,13,30,15
401771,20,0,2,(1) 1. Democrat,,13,25,60,15
401773,81,0,3,(3) 3. Independent,1,14,14,79,10
401774,0,70,7,(2) 2. Republican,4,11,8,0,85
401780,85,15,1,(1) 1. Democrat,2,14,21,100,30
401782,70,40,7,(2) 2. Republican,5,9,12,41,95
